Strain;groupe;parent;males;femelles
Y5;a;1;65;81
Y5;a;2;43;77
Y5;a;3;48;51
Y5;a;4;39;77
Y5;a;5;23;46
Y5;b;1;44;80
Y5;b;2;29;43
Y5;b;3;57;70
Y5;b;4;27;66
Y5;b;5;48;72
Y5;c;1;14;65
Y5;c;2;41;69
Y5;c;3;26;42
Y5;c;4;21;45
Y5;c;5;17;47
Y6;a;1;66;81
Y6;a;2;68;62
Y6;a;3;28;66
Y6;a;4;48;57
Y6;a;5;53;70
Y6;b;1;15;52
Y6;b;2;37;48
Y6;b;3;18;106
Y6;b;4;21;37
Y6;b;5;52;60
Y6;c;1;45;46
Y6;c;2;28;74
Y6;c;3;46;98
Y6;c;4;52;43
Y6;c;5;27;39
Y7;a;1;16;60
Y7;a;2;46;62
Y7;a;3;50;67
Y7;a;4;29;57
Y7;a;5;32;60
Y7;b;1;23;91
Y7;b;2;32;48
Y7;b;3;42;68
Y7;b;4;52;64
Y7;b;5;36;74
Y7;c;1;45;91
Y7;c;2;22;49
Y7;c;3;27;42
Y7;c;4;44;59
Y7;c;5;28;39
Y9;a;1;37;86
Y9;a;2;14;110
Y9;a;3;31;64
Y9;a;4;29;62
Y9;a;5;32;85
Y9;b;1;18;89
Y9;b;2;8;102
Y9;b;3;2;77
Y9;b;4;8;89
Y9;b;5;25;93
Y9;c;1;6;122
Y9;c;2;20;58
Y9;c;3;4;59
Y9;c;4;5;57
Y9;c;5;20;67
Y10;a;1;16;64
Y10;a;2;68;71
Y10;a;3;45;52
Y10;a;4;57;73
Y10;a;5;54;70
Y10;b;1;63;47
Y10;b;2;44;65
Y10;b;3;40;52
Y10;b;4;49;59
Y10;b;5;59;64
Y10;c;1;33;39
Y10;c;2;43;71
Y10;c;3;26;51
Y10;c;4;31;80
Y10;c;5;37;82
Y11;a;1;74;66
Y11;a;2;33;68
Y11;a;3;33;42
Y11;a;4;34;44
Y11;a;5;57;64
Y11;b;1;38;64
Y11;b;2;40;70
Y11;b;3;25;33
Y11;b;4;34;70
Y11;b;5;54;48
Y11;c;1;42;57
Y11;c;2;46;90
Y11;c;3;31;78
Y11;c;4;28;51
Y11;c;5;14;39
Y12;a;1;20;86
Y12;a;2;33;87
Y12;a;3;38;75
Y12;a;4;52;40
Y12;a;5;53;55
Y12;b;1;67;67
Y12;b;2;23;68
Y12;b;3;29;33
Y12;b;4;36;61
Y12;b;5;31;49
Y12;c;1;27;42
Y12;c;2;45;52
Y12;c;3;42;58
Y12;c;4;36;56
Y12;c;5;16;67
Y14;a;1;45;71
Y14;a;2;18;86
Y14;a;3;68;75
Y14;a;4;29;69
Y14;a;5;71;70
Y14;b;1;54;64
Y14;b;2;26;89
Y14;b;3;17;66
Y14;b;4;19;108
Y14;b;5;56;61
Y14;c;1;16;44
Y14;c;2;31;70
Y14;c;3;27;57
Y14;c;4;34;79
Y14;c;5;17;50
Y15;a;1;39;88
Y15;a;2;4;101
Y15;a;3;19;84
Y15;a;4;3;118
Y15;a;5;15;98
Y15;b;1;14;51
Y15;b;2;1;55
Y15;b;3;28;70
Y15;b;4;14;93
Y15;b;5;33;85
Y15;c;1;7;71
Y15;c;2;64;73
Y15;c;3;12;95
Y15;c;4;19;57
Y15;c;5;39;78
Y16;a;1;56;84
Y16;a;2;10;112
Y16;a;3;19;106
Y16;a;4;5;45
Y16;a;5;53;78
Y16;b;1;45;48
Y16;b;2;13;67
Y16;b;3;55;69
Y16;b;4;24;77
Y16;b;5;39;77
Y16;c;1;5;140
Y16;c;2;19;87
Y16;c;3;8;101
Y16;c;4;17;48
Y16;c;5;27;35
YT2;a;1;30;55
YT2;a;2;24;36
YT2;a;3;26;53
YT2;a;4;44;54
YT2;a;5;31;34
YT2;b;1;21;47
YT2;b;2;41;68
YT2;b;3;19;46
YT2;b;4;43;84
YT2;b;5;29;58
YT2;c;1;39;74
YT2;c;2;56;83
YT2;c;3;22;41
YT2;c;4;24;76
YT2;c;5;6;119
YZ6.13;a;1;37;85
YZ6.13;a;2;46;64
YZ6.13;a;3;30;92
YZ6.13;a;4;24;48
YZ6.13;a;5;19;114
YZ6.13;b;1;33;75
YZ6.13;b;2;36;120
YZ6.13;b;3;63;65
YZ6.13;b;4;36;75
YZ6.13;b;5;25;81
YZ6.13;c;1;23;82
YZ6.13;c;2;23;60
YZ6.13;c;3;31;76
YZ6.13;c;4;45;58
YZ6.13;c;5;46;53
YAL110;a;1;35;69
YAL110;a;2;51;62
YAL110;a;3;38;78
YAL110;a;4;20;50
YAL110;a;5;29;62
YAL110;b;1;42;67
YAL110;b;2;16;74
YAL110;b;3;21;95
YAL110;b;4;41;53
YAL110;b;5;16;56
YAL110;c;1;17;43
YAL110;c;2;18;62
YAL110;c;3;34;50
YAL110;c;4;38;56
YAL110;c;5;30;37
YST8;a;1;15;42
YST8;a;2;12;69
YST8;a;3;15;91
YST8;a;4;3;91
YST8;a;5;9;111
YST8;b;1;3;100
YST8;b;2;16;76
YST8;b;3;3;100
YST8;b;4;2;115
YST8;b;5;2;98
YST8;c;1;6;73
YST8;c;2;15;83
YST8;c;3;20;71
YST8;c;4;4;102
YST8;c;5;51;150
