TE	Al110	Al4	C1674	Sexchro-10	Sexchro-11	Sexchro-12	Sexchro-13	Sexchro-14	Sexchro-15	Sexchro-16	Sexchro-1	Sexchro-2	Sexchro-3	Sexchro-4	Sexchro-5	Sexchro-6	Sexchro-7	Sexchro-8	Sexchro-9	SR	ST8	T2	Z613
135U_SAT	615.343	610.585	519.049	528.708	530.723	515.948	533.064	540.664	544.604	555.519	548.815	540.691	529.845	532.446	515.053	549.879	555.517	531.361	550.633	440.631	562.75	549.272	551.597
193XP_SAT	425.377	410.395	242.111	141.384	142.169	141.832	148.828	151.307	150.142	152.328	149.813	146.363	145.979	148.868	144.838	147.622	153.642	143.248	155.138	212.438	160.601	186.881	233.928
260bp_SAT	12.7999	11.5237	11.8858	10.3398	10.0161	9.614	10.0122	10.4815	9.73272	9.82058	10.1604	10.7973	10.4784	10.3517	10.5941	10.6915	9.24814	10.3732	10.0768	7.65348	10.811	10.1383	10.5714
353bp_SAT	14.9811	14.2112	16.0532	15.5152	15.3264	15.0687	15.6166	14.7387	15.2197	14.8675	15.3236	14.3448	16.2348	15.3817	14.22	14.6527	15.7023	15.5644	15.3972	13.5836	15.5559	14.6899	14.4178
356bp_SAT	8.58648	7.91844	6.9814	6.42201	6.3612	6.41608	6.06837	7.23724	6.53984	5.88506	6.10508	6.192	6.64482	6.3881	6.64232	6.0802	6.23062	5.85296	6.5236	5.53656	6.42996	7.93546	7.2906
359bp_SAT	96.6963	82.3701	84.554	82.6848	81.747	83.3078	82.6129	83.7347	81.0461	80.4686	81.1167	79.4898	82.2935	82.2506	83.6596	82.2212	82.6745	83.5818	83.1712	72.7623	85.8946	81.7697	82.5095
360bp_SAT	2384.97	2160.29	1929.77	1669.92	1688.65	1638.14	1779.58	1732.45	1967.89	1716.36	1736.46	1800.31	1630.69	1687.09	1701.47	1724.98	1838.19	1665.17	1712.44	1321.09	1876.4	2058.8	2106.54
365U_SAT	172.815	130.916	127.179	118.98	119.347	115.449	121.099	121.653	131.49	129.763	121.57	126.42	123.866	125.197	120.644	126.3	125.115	126.426	128.084	141.644	132.023	122.071	136.372
3L-TAS_SAT	1.03208	1.12746	1.072	0.83475	0.93	0.82984	0.81807	1.04228	0.82176	0.79257	0.85316	0.8643	0.91275	0.72432	0.76723	0.80668	0.85217	0.82016	0.8272	0.42067	0.88968	1.49951	0.2514
500U_SAT	4142.3	3935.77	3541.78	3412.37	3470.26	3353.6	3465.19	3523.55	3563.52	3599.83	3548.77	3498.07	3473.29	3538.02	3401.98	3552.03	3619.79	3395.01	3583.33	3180.4	3635.22	3431.38	3427.36
